video_number,video_url,author,comment,likes,published_time
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@nodamekira8580,Mbak bicara gitu di depan mukanya saya yakin juga belum tentu paham 😊,1,5 bulan yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@ramarizana8101,"Sebagai dosen yang mengajar kalkulus, saya mengonfirmasi hal ini. Saya menemukan banyak mahasiswa yang perhitungan dasar saja masih belum benar konsepnya. Literasi numerasi termasuk logika perhitungan menjadi salah satu kemampuan yang harus dibekali ke anak-anak.",2,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@fakhronyfakhrony8232,Yg fikiran blum matang..jgn diajarin AI...ada bad effect..malas belajar nanti..dan dampak lainnya..,0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@user-pintar,"Biar terlihat visionerrrr yak??? Benahi dulu noh.. anak SMP gak bisa baca, anak SMA gak tau ngitung bagi². Apa gak malu jadi pemimpin punya kualitas generasi muda yg bobrok. Habis dah kata² utk menggambarkan kebobrokan negri Konoha ni",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@joniartha9777,Bukan make guys bikin kalo di kuliahan di luar sama di kampus negri keknya ada tuh kecerdasan buatan,0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@남돌땀쟁이,"IPK 2,3 ngomongin AI? Penghinaan!",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@memyr6714,"Bahasa inggris mau dihapuskan, di kurikulum merdeka.",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@memyr6714,"Ai tu gampang, kalau sudah bisa coding. Kalau anak anak menguasai coding, jangankan ai, robotpun gempil.",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@andresilveray,masalahnya gurunya aja ga ngerti AI. Ini narasumbernya ngerti ai ga?,1,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@kevinsetiawan3373,nice info,0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@GNUmysterious,"Karena AI itu modal nya mahal, harus beli GPU NVIDIA RTX HIGH END",0,1 tahun yang lalu
